Artist,Listeners,Daily Trend,Peak,PkListeners
Anne-Marie,"40,359,289","-67,430",61,"41,501,481"
Madonna,"40,170,466","-70,403",60,"42,630,784"
Black Eyed Peas,"39,759,009","-4,973",57,"41,190,019"
Feid,"39,309,942","-23,179",61,"40,900,736"
Maluma,"39,049,409","-55,109",67,"39,104,518"
Camila Cabello,"39,036,838","-25,627",57,"40,828,152"
Swae Lee,"38,810,802","-23,101",51,"47,431,521"
Arijit Singh,"38,690,595","147,172",70,"38,690,595"
One Direction,"38,536,749","-40,048",58,"41,614,431"
James Arthur,"38,265,678","-77,643",71,"38,458,175"
Farruko,"37,832,243","-46,192",64,"39,498,431"
Quevedo,"37,671,317","-44,364",72,"38,182,790"
Playboi Carti,"37,595,035","34,209",71,"38,720,453"
The Chainsmokers,"37,113,564","141,989",69,"39,275,751"
Pitbull,"37,073,791","56,974",74,"37,627,528"
Gunna,"36,860,616","101,699",78,"36,860,616"
Michael Jackson,"36,634,625","65,824",68,"37,313,351"
Avicii,"36,181,200","1,280",69,"36,886,926"
Kali Uchis,"36,163,829","-178,999",80,"36,342,828"
JAY-Z,"36,123,827","-12,340",66,"37,146,089"
Latto,"35,830,709","88,151",74,"38,062,951"
XXXTENTACION,"35,700,316","87,724",67,"36,958,905"
Manuel Turizo,"35,401,805","41,489",66,"38,186,155"
Grupo Frontera,"35,384,989","-45,669",64,"39,234,817"
Lil Wayne,"35,298,366","3,295",70,"38,862,257"
ROSALÃA,"35,254,223","-174,433",47,"46,715,627"
Pritam,"34,813,108","32,214",85,"35,430,435"
Lil Uzi Vert,"34,776,681","-128,643",67,"39,580,515"
Aqua,"34,609,662","-440,555",61,"41,819,994"
Sean Paul,"34,452,073","-20,780",66,"38,975,847"
Linkin Park,"34,285,668","36,104",69,"35,852,548"
P!nk,"34,111,856","-50,380",68,"36,911,512"
Diplo,"33,618,734","-27,859",95,"34,587,996"
Britney Spears,"33,461,012","12,637",92,"34,525,279"
Jhayco,"33,434,552","173,087",97,"33,434,552"
Shreya Ghoshal,"33,391,480","56,078",98,"33,391,480"
BTS,"33,370,323","-53,412",63,"40,741,916"
Justin Timberlake,"33,200,525","145,644",100,"33,200,525"
Fleetwood Mac,"33,130,490","105,830",100,"33,130,490"
Jung Kook,"33,129,942","14,876",85,"35,578,104"
Don Omar,"33,056,866","30,248",89,"34,897,391"
Central Cee,"32,987,690","-33,056",89,"35,154,343"
Anuel AA,"32,893,376","-3,750",83,"35,286,500"
Jason Derulo,"32,845,537","53,726",87,"34,068,587"
DJ Snake,"32,723,484","7,204",96,"33,570,740"
Ava Max,"32,657,739","-68,611",95,"34,646,542"
Becky G,"32,649,815","-40,107",78,"36,514,621"
Rema,"32,565,695","-107,997",60,"40,010,586"
The Neighbourhood,"32,068,086","69,395",91,"32,320,916"
Lewis Capaldi,"32,040,638","-22,462",66,"37,236,967"
A.R. Rahman,"31,769,038","36,272",111,"32,074,308"
The Kid LAROI,"31,700,200","-129,742",50,"44,114,355"
Cardi B,"31,401,409","617,636",98,"31,708,178"
50 Cent,"31,289,781",-731,93,"32,332,190"
Young Thug,"31,113,135","-44,063",97,"33,656,406"
Coi Leray,"31,104,332","-17,970",72,"38,479,080"
Demi Lovato,"31,083,651","142,413",102,"31,083,651"
Alan Walker,"31,013,358","-48,174",100,"33,218,914"
Pharrell Williams,"30,939,195","-60,901",102,"33,039,602"
Wiz Khalifa,"30,768,961","-37,240",103,"31,867,476"
Lil Baby,"30,624,100","-122,191",100,"31,786,556"
Snoop Dogg,"30,263,549","-59,762",109,"31,429,177"
Macklemore,"30,261,973","48,215",125,"30,626,076"
Red Hot Chili Peppers,"30,185,947","1,249",122,"30,682,414"
Juice WRLD,"30,165,389","-54,308",94,"32,553,139"
The Beatles,"30,044,113","52,624",108,"31,696,352"
Green Day,"29,704,236","158,004",129,"29,704,236"
A$AP Rocky,"29,660,375","-23,433",100,"33,183,011"
"Tyler, The Creator","29,527,907","-26,626",86,"34,491,803"
DaBaby,"29,327,146","-34,517",103,"32,070,946"
Young Miko,"29,292,068","-15,141",133,"29,307,209"
Tainy,"29,180,506","-75,309",91,"35,233,699"
Lil Nas X,"29,158,630","-51,864",61,"37,597,256"
Labrinth,"29,013,808","27,513",67,"36,829,106"
Creedence Clearwater Revival,"28,942,817","90,137",137,"29,547,475"
Guns N' Roses,"28,849,559","32,997",135,"28,849,559"
Dave,"28,749,706","109,163",139,"28,749,706"
USHER,"28,531,394","1,180",134,"28,894,796"
AC/DC,"28,530,585","38,379",135,"29,132,903"
Kodak Black,"28,193,190","27,872",99,"33,708,388"
Chencho Corleone,"28,042,630","42,560",106,"31,051,924"
Sebastian Yatra,"28,039,329","6,030",137,"28,235,688"
Hozier,"28,000,162","65,879",105,"30,293,009"
RAYE,"27,913,578","300,641",70,"36,484,906"
Nirvana,"27,865,999","-13,961",132,"28,310,769"
Nicky Jam,"27,839,029","-19,928",128,"30,366,327"
Miguel,"27,835,809","-27,797",80,"34,144,669"
Frank Ocean,"27,775,072","48,033",150,"27,775,072"
ABBA,"27,756,518","6,112",141,"28,390,214"
Lil Durk,"27,688,791","-64,922",92,"34,773,282"
Flo Rida,"27,655,303","57,232",139,"28,152,627"
Troye Sivan,"27,324,893","90,666",140,"28,352,154"
Robin Schulz,"27,163,571","-24,072",76,"34,908,935"
Kygo,"27,098,941","-58,266",127,"29,436,685"
Bon Jovi,"26,747,426","43,119",157,"26,864,457"
Junior H,"26,714,363","53,153",142,"28,680,566"
Ty Dolla $ign,"26,675,835","-86,111",132,"29,389,940"
Calum Scott,"26,667,453","-1,960",131,"28,397,540"
Steve Lacy,"26,650,153","81,926",111,"29,765,204"
Jack Harlow,"26,620,407","-14,428",103,"32,198,313"
Eslabon Armado,"26,453,581","-125,276",64,"40,132,836"
Daniel Caesar,"26,269,701","7,187",158,"26,993,957"
Stephen Sanchez,"26,219,969","-73,423",82,"34,322,910"
Bee Gees,"26,203,297","115,012",166,"26,203,297"
The Police,"26,182,817","95,098",167,"26,182,817"
Meghan Trainor,"26,105,163","-6,434",69,"37,377,997"
Fall Out Boy,"26,034,639","-46,938",129,"30,377,374"
DJ Khaled,"26,022,795","-275,175",124,"27,862,957"
FIFTY FIFTY,"25,946,120","-141,191",70,"37,675,143"
Maria Becerra,"25,927,836","3,571",159,"26,919,900"
The Rolling Stones,"25,826,785","277,634",173,"25,826,785"
Morgan Wallen,"25,748,660","19,305",160,"26,588,086"
d4vd,"25,720,715","118,176",94,"31,836,766"
Twenty One Pilots,"25,691,096","51,544",157,"27,206,643"
Carin Leon,"25,609,771","63,252",177,"25,609,771"
Lost Frequencies,"25,466,808","65,302",175,"25,466,808"
NewJeans,"25,411,049","-30,073",160,"26,786,050"
Akon,"25,310,879","-102,563",157,"26,975,304"
David Kushner,"25,151,742","29,632",143,"27,928,294"
PinkPantheress,"25,151,265","20,568",60,"39,844,680"
Amitabh Bhattacharya,"25,062,547","-4,304",160,"26,965,104"
Metallica,"25,060,410","34,725",144,"26,870,829"
Sabrina Carpenter,"25,017,911","25,869",171,"25,017,911"
Mariah Carey,"24,989,476","64,194",161,"24,989,476"
Major Lazer,"24,984,663","35,475",186,"25,065,451"
Nelly Furtado,"24,962,665","198,953",188,"24,962,665"
JVKE,"24,850,437","-54,435",110,"31,684,143"
Tame Impala,"24,668,031","-37,664",162,"26,702,310"
Swedish House Mafia,"24,623,937","-27,743",187,"24,899,684"
Tyga,"24,604,130","2,401",176,"25,118,039"
Jonas Brothers,"24,509,669","-4,383",184,"25,278,372"
Alicia Keys,"24,418,967","27,693",169,"25,833,027"
Yng Lvcas,"24,340,556","-92,754",101,"32,431,402"
Tory Lanez,"24,339,532","6,694",196,"24,339,532"
ZAYN,"24,323,031","-32,418",171,"26,177,320"
Polo G,"24,310,207","10,356",170,"24,908,452"
BLACKPINK,"24,221,202","158,521",173,"25,116,235"
Yandel,"24,214,789","21,019",126,"27,875,326"
Kid Cudi,"24,184,963","-17,956",183,"25,014,740"
Duki,"24,181,175","-5,204",162,"26,492,455"
Mac Miller,"24,074,093","19,050",192,"24,328,100"
Radiohead,"24,014,999","21,738",177,"25,390,483"
Enrique Iglesias,"24,010,676","17,562",183,"24,875,119"
Pop Smoke,"23,985,199","48,708",162,"25,280,553"
Anirudh Ravichander,"23,976,058","287,519",207,"23,976,058"
Christina Aguilera,"23,817,447","-15,204",178,"24,406,255"
ArcÃ¡ngel,"23,798,577","-47,379",112,"29,918,189"
Glass Animals,"23,750,110","-28,407",132,"28,077,809"
Ryan Castro,"23,745,395","-24,467",210,"23,769,862"
Don Toliver,"23,741,853","-42,682",111,"29,569,041"
Alok,"23,687,842","103,442",179,"24,137,105"
Romeo Santos,"23,683,598","-17,193",113,"29,261,273"
Luke Combs,"23,665,095","-19,228",210,"23,778,371"
Peggy Gou,"23,475,593","32,145",215,"23,475,593"
Conan Gray,"23,450,283","29,920",182,"24,741,096"
Aerosmith,"23,377,764","50,806",201,"23,447,874"
Whitney Houston,"23,349,781","-20,803",186,"24,487,241"
Zara Larsson,"23,300,652","-45,597",166,"26,403,685"
Gorillaz,"23,290,331","-1,892",54,"41,977,704"
Tom Odell,"23,284,933","19,486",122,"28,365,299"
Charli XCX,"23,281,504","-6,317",205,"24,071,976"
Disney,"23,281,326","36,003",201,"24,054,234"
2Pac,"23,214,872","-3,094",189,"24,294,167"
Giveon,"23,176,661","-6,374",145,"25,291,400"
Joji,"23,123,178","25,722",116,"29,284,554"
Em Beihold,"23,042,309","3,517",135,"26,666,031"
R3HAB,"22,953,721","-18,387",210,"23,584,295"
Tate McRae,"22,852,503","-19,337",93,"32,013,045"
Fuerza Regida,"22,820,125","59,998",195,"24,340,375"
Panic! At The Disco,"22,806,854","-50,057",165,"26,282,167"
Dr. Dre,"22,806,583","-72,259",199,"23,239,378"
Jennifer Lopez,"22,800,360","-3,489",207,"23,502,805"
El Alfa,"22,652,171","62,033",235,"22,652,171"
Ne-Yo,"22,638,529","81,459",221,"22,638,529"
Childish Gambino,"22,636,743","29,034",205,"23,794,827"
Martin Garrix,"22,635,843","-36,999",175,"23,962,214"
Billy Joel,"22,567,417","-18,951",227,"22,858,255"
Vance Joy,"22,539,880","-38,722",188,"24,815,037"
Eladio Carrion,"22,534,665","-50,526",156,"26,738,598"
Trippie Redd,"22,527,269","-4,254",214,"22,531,523"
Mark Ronson,"22,509,775","31,881",189,"23,123,246"
Macklemore & Ryan Lewis,"22,494,608","50,050",242,"22,494,608"
Ryan Lewis,"22,451,715","49,105",244,"22,451,715"
The Lumineers,"22,447,688","137,341",246,"22,447,688"
Shilpa Rao,"22,415,004","208,695",247,"22,415,004"
Nicki Nicole,"22,404,339","-7,699",178,"24,400,549"
Mora,"22,354,623","199,866",245,"22,354,623"
Megan Thee Stallion,"22,276,169","743,072",163,"24,128,927"
Elley DuhÃ©,"22,242,502","-116,291",150,"25,586,962"
The Killers,"22,220,165","28,117",239,"22,220,165"
Kim Petras,"22,209,434","-139,638",43,"46,551,289"
Luis Fonsi,"22,126,853","11,623",214,"23,290,182"
MÃ¥neskin,"22,017,529","207,670",134,"26,818,201"
Vishal-Shekhar,"22,017,118","32,546",189,"24,626,006"
Sachin-Jigar,"21,882,944","-16,607",186,"24,755,766"
Skrillex,"21,776,916","-8,692",175,"23,635,431"
Paramore,"21,507,264","-58,644",251,"21,953,962"
MEDUZA,"21,452,812","5,775",222,"22,148,251"
Clean Bandit,"21,416,998","-2,520",210,"23,755,636"
Camilo,"21,355,225","61,671",249,"21,515,170"
The Notorious B.I.G.,"21,337,810","-47,083",202,"23,352,541"
Brent Faiyaz,"21,328,005","35,169",239,"22,307,149"
Felix Jaehn,"21,252,900","-25,613",194,"22,767,105"
Lizzo,"21,204,430","-114,528",105,"30,100,497"
Jonas Blue,"21,171,279","-51,081",226,"22,821,691"
John Legend,"21,156,371","3,135",156,"24,516,883"
Lorde,"21,135,977","61,379",262,"21,135,977"
Sech,"21,069,014","-44,016",174,"23,591,625"
Outkast,"21,054,876","12,509",266,"21,054,876"
Zach Bryan,"21,027,724","418,482",272,"21,027,724"
Summer Walker,"20,988,470","10,464",249,"21,447,325"
JID,"20,839,227","33,806",191,"24,589,102"
Wisin & Yandel,"20,830,791",781,173,"23,350,285"
Foo Fighters,"20,702,362","10,361",231,"22,630,908"
Phil Collins,"20,668,195","-24,979",267,"20,868,436"
Bastille,"20,612,768","28,204",264,"20,612,768"
Zion & Lennox,"20,579,547","-14,695",230,"22,169,487"
Roddy Ricch,"20,560,456","-182,007",205,"23,016,594"
Tanishk Bagchi,"20,541,786","28,494",214,"23,360,299"
Anitta,"20,478,580","-23,960",151,"24,747,002"
Eagles,"20,377,153",-384,270,"20,867,139"
Natanael Cano,"20,317,260","10,108",167,"25,627,596"
TOTO,"20,311,058","33,975",285,"20,311,058"
Offset,"20,266,550","-62,077",183,"24,969,472"
Plan B,"20,263,118","-7,975",272,"20,730,655"
NLE Choppa,"20,234,883","54,949",181,"24,991,591"
U2,"20,231,049","-19,546",233,"20,920,933"
Oasis,"20,201,900","-29,576",279,"20,341,409"
Lauv,"20,133,270","-39,928",275,"20,320,115"
Jubin Nautiyal,"20,122,460","55,910",241,"22,249,499"
KK,"20,082,172","20,758",292,"20,082,172"
Anderson .Paak,"20,064,181","20,224",197,"22,604,620"
Burna Boy,"20,059,135","49,004",295,"20,059,135"
Tears For Fears,"20,049,284","81,402",294,"20,049,284"
Udit Narayan,"20,017,880","2,316",282,"20,344,679"
Marvin Gaye,"19,999,932","106,656",298,"19,999,932"
Ruth B.,"19,993,155","-27,823",224,"22,101,563"
Daft Punk,"19,955,865","-24,170",225,"22,870,534"
Rels B,"19,927,938","48,750",299,"19,927,938"
Tiago PZK,"19,841,135","28,233",244,"22,253,606"
Chris Stapleton,"19,801,736","52,341",300,"19,801,736"
Christian Nodal,"19,764,453","-7,709",226,"20,998,189"
Bryan Adams,"19,753,710","15,688",269,"20,988,297"
5 Seconds of Summer,"19,747,371","45,837",252,"20,561,330"
Reik,"19,710,478","13,088",253,"20,365,963"
Darshan Raval,"19,709,477","59,579",306,"19,709,477"
Timbaland,"19,697,130","245,021",299,"19,697,130"
Bob Marley & The Wailers,"19,665,617","-50,125",278,"20,574,539"
Gabito Ballesteros,"19,637,756","60,036",270,"21,000,728"
Alesso,"19,557,582","27,769",259,"20,146,977"
Florence + The Machine,"19,552,706","15,445",275,"20,421,919"
PNAU,"19,504,177","-40,046",220,"22,323,897"
A Boogie Wit da Hoodie,"19,293,685","143,327",213,"22,882,543"
B.o.B,"19,263,068","-16,293",312,"19,279,361"
Grupo Firme,"19,086,940","-50,062",313,"19,231,331"
Stevie Wonder,"19,033,396","8,206",298,"19,152,891"
TINI,"19,022,854","-46,589",194,"22,906,402"
Alka Yagnik,"19,006,775","-10,308",287,"20,003,871"
Jay Wheeler,"18,977,419",-72,321,"18,977,491"
Nelly,"18,927,046",946,316,"18,934,660"
Kesha,"18,881,699","-8,253",275,"20,265,888"
Shankar Mahadevan,"18,856,947","-1,740",324,"18,858,687"
Big Sean,"18,842,322","3,740",252,"20,137,963"
Becky Hill,"18,830,073","-33,729",257,"20,058,164"
Julia Michaels,"18,826,294","-30,139",309,"19,031,718"
Pink Floyd,"18,791,532","42,817",258,"19,735,588"
Hotel Ugly,"18,736,585","49,078",329,"18,736,585"
The Offspring,"18,727,741","66,985",309,"18,974,256"
MC Kevin o Chris,"18,621,476","-15,142",317,"19,054,899"
Danny Ocean,"18,500,280","-30,000",270,"19,413,332"
Migos,"18,431,323","33,372",296,"19,231,013"
Led Zeppelin,"18,414,926","-29,609",294,"19,271,072"
Avril Lavigne,"18,335,483","-17,103",263,"20,377,425"
Juanes,"18,327,301","28,549",333,"18,327,301"
Journey,"18,282,249","-24,205",318,"18,820,358"
Vishal Mishra,"18,261,208","46,682",338,"18,261,208"
French Montana,"18,158,009","-12,886",313,"18,824,754"
Train,"18,142,889","-1,265",333,"18,233,868"
Doechii,"18,083,033","-40,733",334,"18,255,625"
Piso 21,"18,041,669","-52,384",317,"18,475,745"
Jonita Gandhi,"18,013,716","90,475",343,"18,013,716"
R.E.M.,"17,988,456","-17,031",332,"18,075,934"
Carly Rae Jepsen,"17,950,309","-72,844",317,"18,869,973"
Elvis Presley,"17,943,572","3,867",302,"18,250,177"
Oliver Tree,"17,918,599","-19,456",85,"33,995,315"
blink-182,"17,911,522",676,331,"18,320,916"
Cigarettes After Sex,"17,884,283","28,252",311,"17,884,283"
Alec Benjamin,"17,821,830","-1,021",251,"21,741,517"
"Earth, Wind & Fire","17,739,235","69,036",343,"17,814,587"
Kelly Clarkson,"17,736,733","44,476",312,"19,069,054"
League of Legends,"17,629,115","-1,472",266,"19,497,150"
Joel Corry,"17,608,419",237,301,"18,601,830"
Dire Straits,"17,583,132","-3,510",331,"17,760,775"
a-ha,"17,509,236","18,570",284,"19,841,837"
Shaggy,"17,474,596","7,058",328,"18,459,819"
Aventura,"17,468,742",-751,350,"17,471,920"
System Of A Down,"17,456,630","38,758",336,"18,130,029"
ManÃ¡,"17,455,399","-19,293",334,"18,038,073"
Daryl Hall & John Oates,"17,454,211","35,165",360,"17,454,211"
BeÃ©le,"17,430,193","58,869",362,"17,430,193"
blackbear,"17,365,114","-22,893",259,"19,962,853"
Justin Quiles,"17,364,884","-3,684",223,"21,467,956"
Little Mix,"17,298,704","6,054",287,"18,369,704"
Ãengo Flow,"17,290,081","5,978",207,"22,145,574"
Luis Miguel,"17,287,281","-71,894",309,"18,979,295"
Dean Lewis,"17,282,123","-30,236",266,"19,535,547"
De La Ghetto,"17,276,193","-36,724",238,"20,551,958"
YoungBoy Never Broke Again,"17,263,743","76,609",288,"19,051,130"
Baby Keem,"17,258,372","7,503",313,"19,003,131"
Alessia Cara,"17,190,344","27,606",320,"17,349,861"
PARTYNEXTDOOR,"17,182,482","26,823",291,"18,054,870"
Vishal Dadlani,"17,102,060","69,105",307,"18,868,957"
Niall Horan,"17,046,772","-37,431",129,"27,578,996"
Jason Mraz,"17,024,069","-32,684",341,"17,226,912"
G-Eazy,"17,013,957","65,527",344,"17,912,081"
Backstreet Boys,"16,972,687","14,853",349,"17,431,880"
Sonu Nigam,"16,957,534","-23,325",365,"17,180,089"
The Cranberries,"16,946,878","39,673",380,"16,946,878"
The Cure,"16,913,364","25,795",354,"17,197,307"
Chinmayi,"16,911,977","26,041",382,"16,911,977"
Lil Tjay,"16,885,557","-22,251",268,"19,548,091"
Atif Aslam,"16,866,865","1,763",344,"17,893,030"
Cris Mj,"16,861,487","-155,874",276,"19,079,138"
Steve Aoki,"16,859,565","-20,905",216,"21,606,912"
Mac DeMarco,"16,836,296","33,569",318,"18,145,084"
David Bowie,"16,821,498","25,801",317,"17,901,607"
Shania Twain,"16,809,895","-67,502",352,"17,682,454"
Emilia,"16,804,719","129,283",337,"18,124,895"
George Michael,"16,790,739","11,776",384,"16,790,739"
Imanbek,"16,787,217","-5,195",280,"18,669,813"
Dominic Fike,"16,781,477","-8,872",270,"20,806,994"
Libianca,"16,748,951","-106,620",254,"21,800,126"
The Script,"16,748,730","7,734",360,"16,748,730"
Russ,"16,701,888","59,483",365,"16,701,888"
George Ezra,"16,660,984","-47,048",291,"18,364,138"
Nile Rodgers,"16,656,408","-70,929",277,"20,102,441"
Jasleen Royal,"16,651,077","267,477",399,"16,651,077"
FMK,"16,640,237","21,536",356,"17,577,323"
Mohit Chauhan,"16,632,516","12,895",325,"18,491,100"
Zedd,"16,592,427","-22,999",317,"16,864,646"
Gucci Mane,"16,553,573","1,207",401,"16,553,573"
Bryson Tiller,"16,551,017","31,078",319,"16,965,435"
Luis R Conriquez,"16,514,511",-995,323,"18,605,177"
Prince Royce,"16,491,435","7,869",339,"17,608,087"
Mc Gw,"16,488,133","254,568",407,"16,488,133"
Eden MuÃ±oz,"16,485,789","79,908",408,"16,485,789"
Lynyrd Skynyrd,"16,456,350","22,202",389,"16,572,873"
NF,"16,455,308","29,810",275,"19,447,227"
LUDMILLA,"16,391,761","4,530",407,"16,391,761"
Quavo,"16,303,771","-5,022",347,"17,155,421"
Bill Withers,"16,261,729","74,148",413,"16,261,729"
Sachet Tandon,"16,227,051","49,521",363,"17,257,983"
Bruce Springsteen,"16,226,643","-3,525",344,"17,869,969"
AP Dhillon,"16,210,854","115,404",416,"16,210,854"
Ice Cube,"16,195,049","-26,247",325,"18,290,286"
Lil Tecca,"16,138,802","84,030",418,"16,138,802"
LIT killah,"16,101,675","38,469",383,"16,770,036"
Kungs,"16,063,291","-72,315",401,"16,442,885"
Jax Jones,"16,051,684","-25,656",354,"17,202,952"
Topic,"16,040,418","-26,624",343,"16,634,144"
Ella Henderson,"16,025,418","-27,535",364,"17,142,204"
Los Ãngeles Azules,"16,021,310","69,209",424,"16,021,310"
Jessie J,"15,971,871","8,482",371,"16,354,955"
Tove Lo,"15,970,694","-93,002",321,"16,726,850"
Bad Gyal,"15,942,222","29,193",427,"15,942,222"
benny blanco,"15,930,635","15,596",292,"18,291,830"
Rosa Linn,"15,915,017","-101,458",213,"22,368,082"
Lord Huron,"15,906,977","46,023",430,"15,906,977"
Gesaffelstein,"15,891,155","-2,050",273,"18,995,025"
Tokischa,"15,856,953","20,355",430,"15,856,953"
Banda MS de Sergio LizÃ¡rraga,"15,852,687","-22,071",393,"16,144,034"
Keane,"15,823,574","22,462",384,"16,818,849"
The White Stripes,"15,800,722","12,829",408,"15,808,149"
MC Ryan SP,"15,750,834","46,689",360,"15,750,834"
Badshah,"15,710,761","52,634",413,"15,817,767"
The Goo Goo Dolls,"15,704,120","-66,442",413,"16,193,584"
John Mayer,"15,629,289","-26,335",327,"17,101,929"
Shankar-Ehsaan-Loy,"15,619,026","2,822",436,"15,619,026"
Nickelback,"15,571,772","19,770",414,"15,571,772"
070 Shake,"15,549,639","-45,030",101,"30,903,161"
Ana Castela,"15,542,197","49,890",433,"15,542,197"
My Chemical Romance,"15,525,039","17,294",407,"16,000,446"
Sunidhi Chauhan,"15,477,126","7,539",385,"16,752,575"
Cyndi Lauper,"15,453,338","-25,462",402,"16,392,835"
Bon Iver,"15,427,244","13,230",447,"15,427,244"
Kings of Leon,"15,415,693","22,547",413,"15,517,769"
Ricky Martin,"15,401,930","-25,758",365,"15,850,419"
beabadoobee,"15,334,890","3,646",316,"17,155,398"
Brray,"15,301,717","113,328",451,"15,301,717"
Noah Kahan,"15,259,153","-25,811",389,"16,640,382"
Gwen Stefani,"15,242,336","7,264",431,"15,462,234"
TV Girl,"15,240,196","39,325",438,"15,240,196"
Blessd,"15,179,576","-27,882",428,"15,491,077"
Santana,"15,173,412","-53,704",344,"15,311,085"
Julieta Venegas,"15,136,147","6,715",427,"15,174,990"
Gabry Ponte,"15,117,896","22,355",379,"15,543,123"
Ovy On The Drums,"15,089,695","-59,762",256,"19,658,860"
DENNIS,"15,073,535","-21,017",432,"15,645,823"
NATTI NATASHA,"15,062,502","-27,886",331,"17,498,549"
Amy Winehouse,"15,060,801",-437,417,"15,061,837"
Annie Lennox,"15,024,556","18,084",440,"15,046,117"
6LACK,"15,006,811","-5,541",321,"16,978,376"
Black Sabbath,"14,873,594","25,631",465,"14,873,594"
Carlos Vives,"14,861,437","2,487",375,"15,105,637"
B Praak,"14,842,549","2,728",406,"16,083,066"
Kylie Minogue,"14,838,923","1,291",416,"15,935,222"
Alejandro FernÃ¡ndez,"14,799,640","-17,682",404,"16,078,925"
Lil Peep,"14,749,584","54,930",387,"15,038,447"
Bomba EstÃ©reo,"14,740,676","-30,415",290,"18,055,394"
Armin van Buuren,"14,739,359","5,944",440,"15,231,658"
Jain,"14,707,409","-62,916",381,"16,926,660"
Rusherking,"14,658,187","30,687",426,"15,596,238"
Mike Posner,"14,619,745","-11,992",464,"14,745,638"
Morat,"14,595,190","57,208",344,"15,733,395"
Clairo,"14,585,428","42,681",462,"14,585,428"
Big One,"14,579,468","-173,215",398,"16,419,449"
Kunaal Vermaa,"14,549,882","53,629",479,"14,549,882"
Lenny TavÃ¡rez,"14,505,595","3,206",425,"14,627,402"
Disclosure,"14,499,906","-20,880",433,"15,496,017"
Melanie Martinez,"14,499,873",-563,257,"20,251,491"
