Store,Product,Count
Nairobi,Magic Mouse ,22
Nairobi,Magic Mouse 2,35
Nairobi,Magic Trackpas,15
Nairobi,MagSafe Battery Pack,11
Nairobi,MagSafe Charger,14
Nairobi,MagSafe Duo Charger,42
Nairobi,Magsafe to MagSafe 2 Converter,25
Nairobi,Polishing Cloth,13
Nairobi,Power Adapter Extension Cable,48
Nairobi,Pro Display XDR,22
Nairobi,Pro Stand,5
Nairobi,Remote Loop,24
Nairobi,Siri Remote,18
Nairobi,Smart Battery Case,5
Nairobi,Smart Cover,43
Nairobi,Smart Folio,32
Nairobi,Smart Keyboard,47
Nairobi,Smart Keyboard Folio,3
Nairobi,Studio Display,40
Nairobi,SuperDrive,18
Nairobi,Thunderbolt 3,29
Nairobi,Thunderbolt 3 to Thunderbolt 2 Adapter,45
Nairobi,Thunderbolt 4 Pro Cable,21
Nairobi,Thunderbolt to Gigabit Ethernet Adapter,12
Nairobi,USB-C Digital AV Multiport Adapter,33
Nairobi,USB-C Power Adapter,11
Nairobi,USB-C to Apple Pencil Adapter,21
Nairobi,USB-C to Lighning Cable,3
Nairobi,USB-C to MagSafe 3 Cable,6
Nairobi,USB-C to SD Card Reader,42
Nairobi,USB-C to USB Adapter,10
Nairobi,USB-C VGA Multiport Adapter,21
Nairobi,VESA Mount Adapter,17
Nairobi,VESA Mount Adapter Kit for iMac Pro,15
Nairobi,Vision Pro,5
Mombasa,AirPods,42
Mombasa,AirPods Max,27
Mombasa,AirPods Pro,8
Mombasa,AirTag,40
Mombasa,Apple Pencil,14
Mombasa,Apple Pencil Tips,26
Mombasa,Apple Remote,14
Mombasa,Apple Thunderbolt Cable,31
Mombasa,Apple TV 4K,50
Mombasa,Apple TV HD,48
Mombasa,Apple Watch,4
Mombasa,Apple Watch SE,16
Mombasa,Apple Watch Ultra,6
Mombasa,Apple World Travel Adapter Kit,4
Mombasa,EarPods,34
Mombasa,HomePod,7
Mombasa,HomePod Mini,23
Mombasa,iMac,41
Mombasa,iMac Pro,15
Mombasa,iPad,1
Mombasa,iPad Mini,29
Mombasa,iPad Pro,34
Mombasa,iPhone 11,13
Mombasa,iPhone 11 Pro,38
Mombasa,iPhone 11 Pro Max,20
Mombasa,iPhone 12,20
Mombasa,iPhone 12 Mini,28
Mombasa,iPhone 12 Pro,19
Mombasa,iPhone 12 Pro Max,39
Mombasa,iPhone 13,48
Mombasa,iPhone 13 Mini,14
Mombasa,iPhone 13 Pro,37
Mombasa,iPhone 13 Pro Max,12
Mombasa,iPhone 14,3
Mombasa,iPhone 14 Plus,31
Mombasa,iPhone 14 Pro,5
Mombasa,iPhone 14 Pro Max,32
Mombasa,iPhone 15,48
Mombasa,iPhone 15 Plus,34
Mombasa,iPhone 15 Pro,29
Mombasa,iPhone 15 Pro Max,10
Mombasa,iPhone 7,8
Mombasa,iPhone 7 Plus,14
Mombasa,iPhone 8,2
Mombasa,iPhone 8 Plus,49
Mombasa,iPhone Leather Case,3
Mombasa,iPhone Leather Sleeve,12
Mombasa,iPhone SE,14
Mombasa,iPhone TTY Adapter,33
Mombasa,iPhone X,24
Mombasa,iPhone XR,9
Mombasa,iPhone XS,28
Mombasa,iPhone XS Max,35
Mombasa,iPod,47
Mombasa,iPod Mini,19
Mombasa,iPod Nano,3
Mombasa,iPod Shuffle,5
Mombasa,iPod Touch,25
Mombasa,Mac Mini,42
Mombasa,Mac Pro Feet Kit,27
Mombasa,Mac Prop,16
Mombasa,Mac Studio,24
Mombasa,MacBook Air,44
Mombasa,MacBook Pro,3
Mombasa,Magic Keyboard,40
Mombasa,Magic Mouse ,35
Mombasa,Magic Mouse 2,43
Mombasa,Magic Trackpas,48
Mombasa,MagSafe Battery Pack,5
Mombasa,MagSafe Charger,40
Mombasa,MagSafe Duo Charger,31
Mombasa,Magsafe to MagSafe 2 Converter,4
Mombasa,Polishing Cloth,23
Mombasa,Power Adapter Extension Cable,18
Mombasa,Pro Display XDR,4
Mombasa,Pro Stand,29
Mombasa,Remote Loop,48
Mombasa,Siri Remote,7
Mombasa,Smart Battery Case,32
Mombasa,Smart Cover,22
Mombasa,Smart Folio,16
Mombasa,Smart Keyboard,31
Mombasa,Smart Keyboard Folio,49
Mombasa,Studio Display,33
Mombasa,SuperDrive,10
Mombasa,Thunderbolt 3,34
Mombasa,Thunderbolt 3 to Thunderbolt 2 Adapter,11
Mombasa,Thunderbolt 4 Pro Cable,42
Mombasa,Thunderbolt to Gigabit Ethernet Adapter,10
Mombasa,USB-C Digital AV Multiport Adapter,39
Mombasa,USB-C Power Adapter,20
Mombasa,USB-C to Apple Pencil Adapter,24
Mombasa,USB-C to Lighning Cable,29
Mombasa,USB-C to MagSafe 3 Cable,45
Mombasa,USB-C to SD Card Reader,38
Mombasa,USB-C to USB Adapter,42
Mombasa,USB-C VGA Multiport Adapter,16
Mombasa,VESA Mount Adapter,14
Mombasa,VESA Mount Adapter Kit for iMac Pro,1
Mombasa,Vision Pro,21
Nakuru,AirPods,9
Nakuru,AirPods Max,50
Nakuru,AirPods Pro,48
Nakuru,AirTag,3
Nakuru,Apple Pencil,37
Nakuru,Apple Pencil Tips,45
Nakuru,Apple Remote,13
Nakuru,Apple Thunderbolt Cable,38
Nakuru,Apple TV 4K,7
Nakuru,Apple TV HD,37
Nakuru,Apple Watch,49
Nakuru,Apple Watch SE,22
Nakuru,Apple Watch Ultra,19
Nakuru,Apple World Travel Adapter Kit,36
Nakuru,EarPods,32
Nakuru,HomePod,28
Nakuru,HomePod Mini,30
Nakuru,iMac,31
Nakuru,iMac Pro,16
Nakuru,iPad,2
Nakuru,iPad Mini,20
Nakuru,iPad Pro,7
Nakuru,iPhone 11,25
Nakuru,iPhone 11 Pro,31
Nakuru,iPhone 11 Pro Max,8
Nakuru,iPhone 12,18
Nakuru,iPhone 12 Mini,38
Nakuru,iPhone 12 Pro,39
Nakuru,iPhone 12 Pro Max,20
Nakuru,iPhone 13,39
Nakuru,iPhone 13 Mini,2
Nakuru,iPhone 13 Pro,22
Nakuru,iPhone 13 Pro Max,44
Nakuru,iPhone 14,17
Nakuru,iPhone 14 Plus,20
Nakuru,iPhone 14 Pro,8
Nakuru,iPhone 14 Pro Max,17
Nakuru,iPhone 15,13
Nakuru,iPhone 15 Plus,41
Nakuru,iPhone 15 Pro,37
Nakuru,iPhone 15 Pro Max,3
Nakuru,iPhone 7,42
Nakuru,iPhone 7 Plus,17
Nakuru,iPhone 8,3
Nakuru,iPhone 8 Plus,14
Nakuru,iPhone Leather Case,25
Nakuru,iPhone Leather Sleeve,49
Nakuru,iPhone SE,47
Nakuru,iPhone TTY Adapter,49
Nakuru,iPhone X,36
Nakuru,iPhone XR,19
Nakuru,iPhone XS,30
Nakuru,iPhone XS Max,31
Nakuru,iPod,40
Nakuru,iPod Mini,44
Nakuru,iPod Nano,35
Nakuru,iPod Shuffle,14
Nakuru,iPod Touch,34
Nakuru,Mac Mini,2
Nakuru,Mac Pro Feet Kit,2
Nakuru,Mac Prop,32
Nakuru,Mac Studio,50
Nakuru,MacBook Air,14
Nakuru,MacBook Pro,22
Nakuru,Magic Keyboard,23
Nakuru,Magic Mouse ,33
Nakuru,Magic Mouse 2,45
Nakuru,Magic Trackpas,9
Nakuru,MagSafe Battery Pack,42
Nakuru,MagSafe Charger,24
Nakuru,MagSafe Duo Charger,26
Nakuru,Magsafe to MagSafe 2 Converter,32
Nakuru,Polishing Cloth,3
Nakuru,Power Adapter Extension Cable,36
Nakuru,Pro Display XDR,48
Nakuru,Pro Stand,25
Nakuru,Remote Loop,40
Nakuru,Siri Remote,14
Nakuru,Smart Battery Case,43
Nakuru,Smart Cover,7
Nakuru,Smart Folio,2
Nakuru,Smart Keyboard,2
Nakuru,Smart Keyboard Folio,35
Nakuru,Studio Display,21
Nakuru,SuperDrive,36
Nakuru,Thunderbolt 3,33
Nakuru,Thunderbolt 3 to Thunderbolt 2 Adapter,3
Nakuru,Thunderbolt 4 Pro Cable,46
Nakuru,Thunderbolt to Gigabit Ethernet Adapter,9
Nakuru,USB-C Digital AV Multiport Adapter,4
Nakuru,USB-C Power Adapter,46
Nakuru,USB-C to Apple Pencil Adapter,4
Nakuru,USB-C to Lighning Cable,17
Nakuru,USB-C to MagSafe 3 Cable,36
Nakuru,USB-C to SD Card Reader,25
Nakuru,USB-C to USB Adapter,33
Nakuru,USB-C VGA Multiport Adapter,50
Nakuru,VESA Mount Adapter,33
Nakuru,VESA Mount Adapter Kit for iMac Pro,13
Nakuru,Vision Pro,45
Kisumu,AirPods,28
Kisumu,AirPods Max,18
Kisumu,AirPods Pro,11
Kisumu,AirTag,49
Kisumu,Apple Pencil,36
Kisumu,Apple Pencil Tips,27
Kisumu,Apple Remote,35
Kisumu,Apple Thunderbolt Cable,33
Kisumu,Apple TV 4K,40
Kisumu,Apple TV HD,13
Kisumu,Apple Watch,8
Kisumu,Apple Watch SE,7
Kisumu,Apple Watch Ultra,33
Kisumu,Apple World Travel Adapter Kit,29
Kisumu,EarPods,30
Kisumu,HomePod,2
Kisumu,HomePod Mini,47
Kisumu,iMac,21
Kisumu,iMac Pro,30
Kisumu,iPad,4
Kisumu,iPad Mini,48
Kisumu,iPad Pro,10
Kisumu,iPhone 11,48
Kisumu,iPhone 11 Pro,2
Kisumu,iPhone 11 Pro Max,18
Kisumu,iPhone 12,41
Kisumu,iPhone 12 Mini,31
Kisumu,iPhone 12 Pro,11
Kisumu,iPhone 12 Pro Max,14
Kisumu,iPhone 13,35
Kisumu,iPhone 13 Mini,10
Kisumu,iPhone 13 Pro,20
Kisumu,iPhone 13 Pro Max,3
Kisumu,iPhone 14,4
Kisumu,iPhone 14 Plus,6
Kisumu,iPhone 14 Pro,42
Kisumu,iPhone 14 Pro Max,48
Kisumu,iPhone 15,41
Kisumu,iPhone 15 Plus,2
Kisumu,iPhone 15 Pro,9
Kisumu,iPhone 15 Pro Max,7
Kisumu,iPhone 7,16
Kisumu,iPhone 7 Plus,42
Kisumu,iPhone 8,6
Kisumu,iPhone 8 Plus,32
Kisumu,iPhone Leather Case,15
Kisumu,iPhone Leather Sleeve,7
Kisumu,iPhone SE,25
Kisumu,iPhone TTY Adapter,2
Kisumu,iPhone X,11
Kisumu,iPhone XR,47
Kisumu,iPhone XS,5
Kisumu,iPhone XS Max,29
Kisumu,iPod,16
Kisumu,iPod Mini,45
Kisumu,iPod Nano,21
Kisumu,iPod Shuffle,45
Kisumu,iPod Touch,3
Kisumu,Mac Mini,4
Kisumu,Mac Pro Feet Kit,14
Kisumu,Mac Prop,17
Kisumu,Mac Studio,16
Kisumu,MacBook Air,40
Kisumu,MacBook Pro,30
Kisumu,Magic Keyboard,40
Kisumu,Magic Mouse ,18
Kisumu,Magic Mouse 2,38
Kisumu,Magic Trackpas,7
Kisumu,MagSafe Battery Pack,10
Kisumu,MagSafe Charger,34
Kisumu,MagSafe Duo Charger,21
Kisumu,Magsafe to MagSafe 2 Converter,46
Kisumu,Polishing Cloth,9
Kisumu,Power Adapter Extension Cable,38
Kisumu,Pro Display XDR,27
Kisumu,Pro Stand,43
Kisumu,Remote Loop,24
Kisumu,Siri Remote,28
Kisumu,Smart Battery Case,46
Kisumu,Smart Cover,3
Kisumu,Smart Folio,26
Kisumu,Smart Keyboard,23
Kisumu,Smart Keyboard Folio,9
Kisumu,Studio Display,30
Kisumu,SuperDrive,34
Kisumu,Thunderbolt 3,35
Kisumu,Thunderbolt 3 to Thunderbolt 2 Adapter,18
Kisumu,Thunderbolt 4 Pro Cable,9
Kisumu,Thunderbolt to Gigabit Ethernet Adapter,29
Kisumu,USB-C Digital AV Multiport Adapter,35
Kisumu,USB-C Power Adapter,11
Kisumu,USB-C to Apple Pencil Adapter,19
Kisumu,USB-C to Lighning Cable,12
Kisumu,USB-C to MagSafe 3 Cable,42
Kisumu,USB-C to SD Card Reader,20
Kisumu,USB-C to USB Adapter,48
Kisumu,USB-C VGA Multiport Adapter,35
Kisumu,VESA Mount Adapter,3
Kisumu,VESA Mount Adapter Kit for iMac Pro,27
Kisumu,Vision Pro,49
Kiambu,AirPods,24
Kiambu,AirPods Max,28
Kiambu,AirPods Pro,36
Kiambu,AirTag,43
Kiambu,Apple Pencil,35
Kiambu,Apple Pencil Tips,35
Kiambu,Apple Remote,32
Kiambu,Apple Thunderbolt Cable,3
Kiambu,Apple TV 4K,36
Kiambu,Apple TV HD,50
Kiambu,Apple Watch,18
Kiambu,Apple Watch SE,2
Kiambu,Apple Watch Ultra,9
Kiambu,Apple World Travel Adapter Kit,34
Kiambu,EarPods,8
Kiambu,HomePod,23
Kiambu,HomePod Mini,16
Kiambu,iMac,39
Kiambu,iMac Pro,29
Kiambu,iPad,21
Kiambu,iPad Mini,31
Kiambu,iPad Pro,25
Kiambu,iPhone 11,50
Kiambu,iPhone 11 Pro,2
Kiambu,iPhone 11 Pro Max,37
Kiambu,iPhone 12,17
Kiambu,iPhone 12 Mini,13
Kiambu,iPhone 12 Pro,25
Kiambu,iPhone 12 Pro Max,15
Kiambu,iPhone 13,8
Kiambu,iPhone 13 Mini,8
Kiambu,iPhone 13 Pro,10
Kiambu,iPhone 13 Pro Max,36
Kiambu,iPhone 14,37
Kiambu,iPhone 14 Plus,18
Kiambu,iPhone 14 Pro,45
Kiambu,iPhone 14 Pro Max,47
Kiambu,iPhone 15,15
Kiambu,iPhone 15 Plus,14
Kiambu,iPhone 15 Pro,23
Kiambu,iPhone 15 Pro Max,37
Kiambu,iPhone 7,4
Kiambu,iPhone 7 Plus,14
Kiambu,iPhone 8,40
Kiambu,iPhone 8 Plus,45
Kiambu,iPhone Leather Case,34
Kiambu,iPhone Leather Sleeve,3
Kiambu,iPhone SE,14
Kiambu,iPhone TTY Adapter,50
Kiambu,iPhone X,4
Kiambu,iPhone XR,49
Kiambu,iPhone XS,26
Kiambu,iPhone XS Max,22
Kiambu,iPod,11
Kiambu,iPod Mini,43
Kiambu,iPod Nano,3
Kiambu,iPod Shuffle,2
Kiambu,iPod Touch,33
Kiambu,Mac Mini,35
Kiambu,Mac Pro Feet Kit,4
Kiambu,Mac Prop,24
Kiambu,Mac Studio,25
Kiambu,MacBook Air,36
Kiambu,MacBook Pro,12
Kiambu,Magic Keyboard,20
Kiambu,Magic Mouse ,28
Kiambu,Magic Mouse 2,24
Kiambu,Magic Trackpas,12
Kiambu,MagSafe Battery Pack,13
Kiambu,MagSafe Charger,27
Kiambu,MagSafe Duo Charger,19
Kiambu,Magsafe to MagSafe 2 Converter,11
Kiambu,Polishing Cloth,24
Kiambu,Power Adapter Extension Cable,37
Kiambu,Pro Display XDR,14
Kiambu,Pro Stand,44
Kiambu,Remote Loop,35
Kiambu,Siri Remote,32
Kiambu,Smart Battery Case,46
Kiambu,Smart Cover,35
Kiambu,Smart Folio,36
Kiambu,Smart Keyboard,19
Kiambu,Smart Keyboard Folio,26
Kiambu,Studio Display,44
Kiambu,SuperDrive,16
Kiambu,Thunderbolt 3,29
Kiambu,Thunderbolt 3 to Thunderbolt 2 Adapter,30
Kiambu,Thunderbolt 4 Pro Cable,44
Kiambu,Thunderbolt to Gigabit Ethernet Adapter,30
Kiambu,USB-C Digital AV Multiport Adapter,16
Kiambu,USB-C Power Adapter,33
Kiambu,USB-C to Apple Pencil Adapter,36
Kiambu,USB-C to Lighning Cable,11
Kiambu,USB-C to MagSafe 3 Cable,43
Kiambu,USB-C to SD Card Reader,37
Kiambu,USB-C to USB Adapter,27
Kiambu,USB-C VGA Multiport Adapter,45
Kiambu,VESA Mount Adapter,26
Kiambu,VESA Mount Adapter Kit for iMac Pro,44
Kiambu,Vision Pro,17
